text,annotations
go here .,"[('null', 'restaurant general', 'positive', 'null')]"
good for dates or with friends .,"[('null', 'restaurant miscellaneous', 'positive', 'good')]"
i am reluctant to write because i would not want my jem of a pizza place to become overcrowded .,"[('pizza place', 'restaurant miscellaneous', 'positive', 'overcrowded')]"
"however , it is jus too good to not praise it .","[('null', 'restaurant general', 'positive', 'good')]"
"by far , the best pizza in manhattan .","[('pizza', 'food quality', 'positive', 'best')]"
"the crust is thin , the ingredients are fresh and the staff is friendly .","[('crust', 'food quality', 'positive', 'thin')]"
the menu has so many fish items and oysters .,"[('menu', 'food style options', 'positive', 'null')]"
"the fish was really , really fresh .","[('fish', 'food quality', 'positive', 'fresh')]"
we all agreed that mare is one of the best seafood restaurants in new york .,"[('mare', 'restaurant general', 'positive', 'best')]"
i stumbled upon this great pizzeria as i explored my new neighborhood .,"[('pizzeria', 'restaurant general', 'positive', 'great')]"
all of the pizzas are terrific and the price is even better !,"[('pizzas', 'food quality', 'positive', 'terrific')]"
i highly recommend the sophia pizza .,"[('sophia pizza', 'food quality', 'positive', 'recommend')]"
it ' s to die for !,"[('null', 'food quality', 'positive', 'null')]"
the food was mediocre at best but it was the horrible service that made me vow never to go back .,"[('food', 'food quality', 'negative', 'mediocre')]"
"immediately after we paid , the waiter took the money and said , okay , you guys are outta here .","[('waiter', 'service general', 'negative', 'null')]"
so rushing us out was absolutely unnecessary !,"[('null', 'service general', 'negative', 'null')]"
"for the people who want great food plus great service , roxy is a place to avoid !","[('food', 'food quality', 'negative', 'great')]"
"the first time the sushi was outstanding , the second time it was a little bland .","[('sushi', 'food quality', 'negative', 'outstanding')]"
i ' m sure i ' ll return for a final judgement tho .,"[('null', 'restaurant general', 'neutral', 'null')]"
"the blond wood decor is very soothing , the premium sake is excellent and the service is great .","[('blond wood decor', 'ambience general', 'positive', 'soothing')]"
mizu is the japenese find in grammercy .,"[('mizu', 'restaurant general', 'positive', 'null')]"
"while their kitchen food is delicious , their sushi is out of this world .","[('kitchen food', 'food quality', 'positive', 'delicious')]"
mizu is home to creative and unique rolls not to found anywhere else .,"[('rolls', 'food style options', 'positive', 'creative')]"
"not only is the cuisine the best around , the service has always been attentive and charming .","[('cuisine', 'food quality', 'positive', 'best')]"
warning : you may find it difficult to dine at other japanese restaurants after a visit to mizu !,"[('mizu', 'restaurant general', 'positive', 'difficult')]"
"the entree was bland and small , dessert was not inspired .","[('entree', 'food quality', 'negative', 'bland')]"
i expected quite a bit more from such an expensive menu .,"[('menu', 'food prices', 'negative', 'expensive')]"
"the view is spectacular , and the food is great .","[('view', 'location general', 'positive', 'spectacular')]"
wonderful strawberry daiquiries as well !,"[('strawberry daiquiries', 'drinks quality', 'positive', 'wonderful')]"
definitely worth the trip to battery park city !,"[('null', 'restaurant general', 'positive', 'worth')]"
one of my favorite places in manhattan .,"[('null', 'restaurant general', 'positive', 'favorite')]"
authentic taiwanese food that ' s cheap . . . what more could you ask for ?,"[('taiwanese food', 'food quality', 'positive', 'authentic')]"
( besides that there should be more restaurants like it around the city ) .,"[('null', 'restaurant general', 'positive', 'null')]"
the cold appetizer dishes taste like the way i remember them to taste when i was growing up in taiwan .,"[('cold appetizer dishes', 'food quality', 'positive', 'null')]"
delicious simple food in nice outdoor atmosphere .,"[('food', 'food quality', 'positive', 'delicious')]"
"kind , attentive wait staff .","[('wait staff', 'service general', 'positive', 'kind')]"
i really like both the scallops and the mahi mahi ( on saffron risotto yum ! ) .,"[('scallops', 'food quality', 'positive', 'like')]"
my friend devoured her chicken and mashed potatos .,"[('chicken and mashed potatos', 'food quality', 'positive', 'devoured')]"
delicious crab cakes too .,"[('crab cakes', 'food quality', 'positive', 'delicious')]"
"even if the food was n ' t this good , the garden is a great place to sit outside and relax .","[('garden', 'ambience general', 'positive', 'great')]"
great neighborhood joint .,"[('joint', 'restaurant general', 'positive', 'great')]"
this is a nice pizza place with good selection of thin crust pizza including the basil slice .,"[('selection of thin crust pizza', 'food style options', 'positive', 'good')]"
"their calzones are horrific , bad , vomit - inducing , yuck .","[('calzones', 'food quality', 'negative', 'horrific')]"
they smell like they stuff them with old canned vegetables like the spinach mushroom calzone .,"[('null', 'food quality', 'negative', 'null')]"
the counter service is bad .,"[('counter service', 'service general', 'negative', 'bad')]"
they charge different prices all the time .,"[('null', 'service general', 'negative', 'null')]"
"they ' re rude at times , and not very friendly .","[('null', 'service general', 'negative', 'rude')]"
no pizza 33 for me !,"[('pizza 33', 'restaurant general', 'negative', 'null')]"
"anybody who likes this place must be from a different planet , where greasy , dry and tasteless are complimentary .","[('null', 'food quality', 'negative', 'greasy')]"
"the dosas are skimpy , unattractive and drip with grease , and personally i ' d drink popcorn topping before i ' d eat another one of these .","[('dosas', 'food style options', 'negative', 'skimpy')]"
"the sandwiches are dry , tasteless and way overpriced .","[('sandwiches', 'food quality', 'negative', 'dry')]"
"calling the place hampton chutney co . does warn you that these folks offer more style than substance , but in this unattractive room with unhelpful clerks there was a dearth of the former too .","[('place', 'restaurant general', 'negative', 'null')]"
"seriously , this place kicks ass .","[('place', 'restaurant general', 'positive', 'kicks ass')]"
"the atmosphere is unheralded , the service impecible , and the food magnificant .","[('atmosphere', 'ambience general', 'positive', 'unheralded')]"
"best italian food i ever had ( and being italian , that means alot ) .","[('italian food', 'food quality', 'positive', 'best')]"
"it is nearly impossible to get a table , so if you ever have the chance to go here for dinner , do not pass it up .","[('null', 'restaurant general', 'positive', 'null')]"
"this is such a lovely , peaceful place to eat outside .","[('place', 'ambience general', 'positive', 'lovely')]"
the restaurant looks out over beautiful green lawns to the hudson river and the statue of liberty .,"[('restaurant', 'location general', 'positive', 'beautiful')]"
"it is set far from the small street it ' s on , and there is no traffic noise .","[('null', 'location general', 'positive', 'null')]"
"this is a great place to take out - of - towners , and perfect for watching the sunset .","[('place', 'location general', 'positive', 'great')]"
great sushi experience .,"[('sushi', 'food quality', 'positive', 'great')]"
nice value .,"[('null', 'restaurant prices', 'positive', 'nice')]"
unique apppetizers .,"[('apppetizers', 'food quality', 'positive', 'unique')]"
try sushimi cucumber roll .,"[('sushimi cucumber roll', 'food quality', 'positive', 'try')]"
"good spreads , great beverage selections and bagels really tasty .","[('spreads', 'food quality', 'positive', 'good')]"
murray wo n ' t do it .,"[('null', 'service general', 'negative', 'null')]"
but who says murray ' s is anything about service .,"[('service', 'service general', 'negative', 'null')]"
"so close , but not good enough .","[('null', 'restaurant general', 'neutral', 'not good enough')]"
do n ' t be fooled by crowds of people .,"[('null', 'restaurant miscellaneous', 'negative', 'fooled')]"
the service is awful .,"[('service', 'service general', 'negative', 'awful')]"
this place is not worth the prices .,"[('place', 'restaurant general', 'negative', 'not worth')]"
"also , do n ' t plan on asking for your favorite roll , if it ' s not on the menu , you ca n ' t have it .","[('null', 'service general', 'negative', 'null')]"
love pizza 33 . . .,"[('pizza 33', 'restaurant general', 'positive', 'love')]"
i will be out with friends and all of a sudden i am hungry and i only crave one thing . . . their pizza .,"[('pizza', 'food quality', 'positive', 'crave')]"
it hits the spot every time,"[('null', 'restaurant general', 'positive', 'hits')]"
this tiny williamsburg spot is always pleasantly surprising .,"[('williamsburg spot', 'restaurant general', 'positive', 'surprising')]"
the pizza is delicious and the proprietor is one of the nicest in nyc .,"[('pizza', 'food quality', 'positive', 'delicious')]"
they even scoop it out nice ( for those on a diet ) not too much not to little .,"[('null', 'food style options', 'positive', 'nice')]"
the cream cheeses are out of this world and i love that coffee ! !,"[('cream cheeses', 'food quality', 'positive', 'out of this world')]"
a little crowded but they move that line really fast !,"[('null', 'service general', 'positive', 'fast')]"
a little pricey but it really hits the spot on a sunday morning !,"[('null', 'restaurant prices', 'negative', 'pricey')]"
"bagels are ok , but be sure not to make any special requests !","[('bagels', 'food quality', 'neutral', 'ok')]"
i asked for an open faced cheese sandwich and the manager basically told me to take my business elsewhere !,"[('manager', 'service general', 'negative', 'null')]"
be sure not to get anything other than bagels ! . .,"[('bagels', 'food quality', 'positive', 'null')]"
the worst excuse for japanese food i ' ve ever encountered .,"[('null', 'restaurant miscellaneous', 'negative', 'worst')]"
the soup for the udon was soy sauce and water .,"[('soup for the udon', 'food quality', 'negative', 'null')]"
the sushi was awful !,"[('sushi', 'food quality', 'negative', 'awful')]"
the rice was poor quality and was cooked so badly it was hard .,"[('rice', 'food quality', 'negative', 'poor quality')]"
"furthermore , the rice had no seasoning , so the sushi was bland and disgusting .","[('rice', 'food quality', 'negative', 'null')]"
"the fish was adequate , but inexpertly sliced .","[('fish', 'food style options', 'negative', 'adequate')]"
it is obvious that no one in the restaurant has any idea about or experience with japanese cuisine .,"[('japanese cuisine', 'food quality', 'negative', 'null')]"
"good , fast service .","[('service', 'service general', 'positive', 'good')]"
i would highly recommend .,"[('null', 'restaurant general', 'positive', 'recommend')]"
food is great and inexpensive .,"[('food', 'food quality', 'positive', 'great')]"
the location is perfect .,"[('location', 'location general', 'positive', 'perfect')]"
give it a try and enjoy .,"[('null', 'restaurant general', 'positive', 'enjoy')]"
"well , this place is so ghetto its not even funny .","[('place', 'ambience general', 'negative', 'ghetto')]"
if you like your music blasted and the system isnt that great and if you want to pay at least 100 dollar bottle minimun then you ' ll love it here .,"[('bottle', 'drinks prices', 'negative', 'love')]"
would never go back there .,"[('null', 'restaurant general', 'negative', 'null')]"
awsome pizza especially the margheritta slice .,"[('pizza', 'food quality', 'positive', 'awsome')]"
always busy but fast moving .,"[('null', 'service general', 'positive', 'fast')]"
great atmoshere and worth every bit .,"[('atmoshere', 'ambience general', 'positive', 'great')]"
open late ( well as late as i ever got there and i ' m a night person ),"[('null', 'restaurant miscellaneous', 'positive', 'null')]"
winnie and her staff are the best crew you can find serving you .,"[('winnie', 'service general', 'positive', 'best')]"
the food is reliable and the price is moderate .,"[('food', 'food quality', 'positive', 'reliable')]"
what more can you ask for ?,"[('null', 'restaurant general', 'positive', 'null')]"
everything about this restaurant was special .,"[('restaurant', 'restaurant general', 'positive', 'special')]"
"the service was attentive , yet discreet .","[('service', 'service general', 'positive', 'attentive')]"
the flavors robust and subtle .,"[('null', 'food quality', 'positive', 'robust')]"
the brioche and lollies as party favors is a cute and sweet touch to a most memorable meal .,"[('brioche and lollies', 'food quality', 'positive', 'cute')]"
i ' m saving up for my next visit .,"[('null', 'restaurant general', 'positive', 'null')]"
the place was quiet and delightful .,"[('place', 'ambience general', 'positive', 'quiet')]"
i did not try the caviar but i tried their salmon and crab salad ( they are all good ),"[('salmon', 'food quality', 'positive', 'good')]"
"as a retired hipster , i can say with some degree of certainty that for the last year lucky strike has been the best laid - back late night in the city .","[('lucky strike', 'restaurant general', 'positive', 'best')]"
"the wait staff is pleasant , fun , and for the most part gorgeous ( in the wonderful aesthetic beautification way , not in that she ' s - way - cuter - than - me - that - b @ # $ * way ) .","[('wait staff', 'service general', 'positive', 'pleasant')]"
"the food is yummy , especially their cooked - to - perfection mussels in spicy tomato sauce and their shoestring crispy fries .","[('food', 'food quality', 'positive', 'yummy')]"
"but the best part about ls is the late night atmosphere , delightfully free of the bts .","[('late night atmosphere', 'ambience general', 'positive', 'best')]"
"you can get a completely delish martini in a glass ( that ' s about 2 1 / 2 drinks ) for $ 8 . 50 ( i recommend the vanilla shanty , mmmm ! ) in a great homey setting with great music .","[('martini', 'drinks quality', 'positive', 'delish')]"
"the in - house lady dj on saturday nights has outrageously good taste in music , and moreover , takes requests .","[('in - house lady dj', 'ambience general', 'positive', 'good taste')]"
you ca n ' t go wrong with this place .,"[('place', 'restaurant general', 'positive', ""ca n ' t go wrong"")]"
suan is a great place that i often take my friends ( classmates ) too .,"[('suan', 'restaurant general', 'positive', 'great')]"
"its location is good and the fact that hutner college is near and their prices are very reasonable , makes students go back to suan again and again .","[('location', 'location general', 'positive', 'good')]"
i love their thai,"[('thai', 'food quality', 'positive', 'love')]"
noodles with shrimp and chicken and coconut juice is the must !,"[('noodles with shrimp and chicken and coconut juice', 'food quality', 'positive', 'must')]"
i will go back to suan soon !,"[('suan', 'restaurant general', 'positive', 'null')]"
in summer - eat outside on a terrace ( another great feature of suan ) ! ! !,"[('terrace', 'ambience general', 'positive', 'great')]"
i can not imagine a friendlier staff working in a restaurant .,"[('staff', 'service general', 'positive', 'friendlier')]"
i can not imagine better indian food in all of the city .,"[('indian food', 'food quality', 'positive', 'better')]"
i can not imagine you not rushing out to eat there .,"[('null', 'restaurant general', 'positive', 'null')]"
"during the course of the past 3 months , the chef and staff changed and it was not for the better .","[('chef', 'food quality', 'negative', 'not for the better')]"
i wish they would change back to what it was before .,"[('null', 'restaurant general', 'negative', 'null')]"
the food now is inconsistent .,"[('food', 'food quality', 'negative', 'inconsistent')]"
this is the kind of place you ' d like to take all your friends to and still keep a secret .,"[('place', 'restaurant miscellaneous', 'positive', 'like')]"
the setting is casual and romantic .,"[('setting', 'ambience general', 'positive', 'casual')]"
prices are very good .,"[('null', 'restaurant prices', 'positive', 'good')]"
the food is excellent !,"[('food', 'food quality', 'positive', 'excellent')]"
"if you ' re daring , try the balsamic vinegar over icecream , it ' s wonderful !","[('balsamic vinegar over icecream', 'food quality', 'positive', 'try')]"
they were such a rip - off ( $ 8 . 95 for four small meat patties in steamed buns ) and not worth trying .,"[('null', 'food quality', 'negative', 'not worth')]"
"the rest of the dim sum , though pricey by chinatown standards , is worth it .","[('dim sum', 'food prices', 'positive', 'pricey')]"
"the wait here is long for dim sum , but if you do n ' t like sharing tables or if the typical raucous dim sum atmosphere is not your gig , this is a sleek ( for chinatown ) alternative .","[('wait', 'service general', 'negative', 'long')]"
"a few tips : skip the turnip cake , roast pork buns and egg custards .","[('turnip cake', 'food quality', 'negative', 'skip')]"
these are overpriced and you can get better just around the corner :,"[('null', 'food prices', 'negative', 'overpriced')]"
i was pleasantly suprised .,"[('null', 'restaurant general', 'positive', 'pleasantly')]"
the food was exceptional .,"[('food', 'food quality', 'positive', 'exceptional')]"
"i choose to go with one of the special , the braised lamb shank in red wine , which was excellent .","[('braised lamb shank in red wine', 'food quality', 'positive', 'excellent')]"
the service was friendly and the atmosphere was casual .,"[('service', 'service general', 'positive', 'friendly')]"
the restaurant is a bit noisy but that is something that can be overlooked once you sit down and enjoy a great meal,"[('meal', 'food quality', 'positive', 'enjoy')]"
this little place has a cute interior decor and affordable city prices .,"[('interior decor', 'ambience general', 'positive', 'cute')]"
"the pad se ew chicken was delicious , however the pad thai was far too oily .","[('pad se ew chicken', 'food quality', 'positive', 'delicious')]"
"have eaten at ginger house several times , and it ' s always good .","[('ginger house', 'restaurant general', 'positive', 'good')]"
the fried dumplings are great !,"[('fried dumplings', 'food quality', 'positive', 'great')]"
finally a reliable chinese restaurant !,"[('chinese restaurant', 'restaurant general', 'positive', 'reliable')]"
this place would be so much better served by being run by a group that actually understands customer service .,"[('customer service', 'service general', 'negative', 'null')]"
"the only thing you can do here is walk in and eat . . but planning an event , especially a small , intimate one , forget about it .","[('null', 'restaurant miscellaneous', 'negative', 'null')]"
"they are not helpful in the least and will give you the grand run around so by the time the event date rolls around you will not only regret chosing this place , but also become hostile !","[('null', 'service general', 'negative', 'not helpful')]"
"nobody at this restaurant will give firm answers about anything and in the end , not one person takes responsibility for anything .","[('null', 'service general', 'negative', 'null')]"
"terrible , terrible management - deserves to be shut - down .","[('management', 'service general', 'negative', 'terrible')]"
never fails to please .,"[('null', 'restaurant general', 'positive', 'please')]"
"delicious bagels , especially when right out of the oven .","[('bagels', 'food quality', 'positive', 'delicious')]"
spreads and toppings are great - though a bit pricey .,"[('spreads', 'food quality', 'positive', 'great')]"
service is fast and friendly .,"[('service', 'service general', 'positive', 'fast')]"
"only drawback - they wo n ' t toast your bagel , and they do n ' t make eggs for the bagel .","[('null', 'service general', 'negative', 'null')]"
but that is highly forgivable .,"[('null', 'restaurant miscellaneous', 'positive', 'forgivable')]"
"been there , done that , and new york , it ' s not that big a deal .","[('null', 'restaurant general', 'neutral', 'null')]"
"the food is decent at best , and the ambience , well , it ' s a matter of opinion , some may consider it to be a sweet thing , i thought it was just annoying .","[('food', 'food quality', 'negative', 'decent')]"
"if celebrities make you sweat , then your in for a ride , but if your like most around these parts then you ' ll just yawn and wonder whats with all the hype .","[('null', 'restaurant miscellaneous', 'negative', 'null')]"
"rao is a good restaurant , but it ' s nothing special .","[('rao', 'restaurant general', 'neutral', 'good')]"
"but after last night , spice grill is the only place i ' m eating indian cuisine .","[('indian cuisine', 'food quality', 'positive', 'null')]"
you must try the shrimp appetizers .,"[('shrimp appetizers', 'food quality', 'positive', 'null')]"
even my indian friend could n ' t believe how good and tasty everything was .,"[('null', 'food quality', 'positive', 'good')]"
this place has the the correct ambience and an excellent staff to make you feel like a guest and a friend at the same time .,"[('ambience', 'ambience general', 'positive', 'correct')]"
"great food , great prices , great service .","[('food', 'food quality', 'positive', 'great')]"
"if you are looking for a good quality , cheap eats - this is the place .","[('eats', 'food quality', 'positive', 'good quality')]"
it ' s a perfect place to have a amazing indian food .,"[('indian food', 'food quality', 'positive', 'amazing')]"
i really loved the different and inovated touch that ' s the cheff gives to the food .,"[('cheff', 'food style options', 'positive', 'loved')]"
"also it ' s great to have dinner in a very romantic and comfortable place , the service it ' s just perfect . . . they ' re so frendly that we never want to live the place !","[('service', 'ambience general', 'positive', 'place')]"
"their bagels are fine , but they are a little overcooked , and not really a ' special ' bagel experience .","[('bagels', 'food quality', 'negative', 'fine')]"
great bagels made the old - fashioned way .,"[('bagels', 'food quality', 'positive', 'great')]"
drawbacks : service is slow and they do n ' t toast !,"[('service', 'service general', 'negative', 'slow')]"
the food was absolutely amazing ! !,"[('food', 'food quality', 'positive', 'amazing')]"
the baked clams octopus we shared as appetizers were the best we ' ve ever had ! !,"[('baked clams octopus', 'food quality', 'positive', 'best')]"
"the lamb was tender so full of flavor , the dessert was divine ! !","[('lamb', 'food quality', 'positive', 'tender')]"
the waiter was attentive .,"[('waiter', 'service general', 'positive', 'attentive')]"
the place itself is beautiful the bar scene seems to be happening .,"[('place', 'ambience general', 'positive', 'beautiful')]"
"downtown dinner 2002 - prixe fix : appetizers were ok , waiter gave me poor suggestion . . . try the potato stuff kanish best one .","[('appetizers', 'food quality', 'neutral', 'ok')]"
dessert is a joke . . . dont bother,"[('dessert', 'food quality', 'negative', 'joke')]"
"volare virgins or weekly regulars , everyone gets treated the same and you ca n ' t ask for more than that when the service is this friendly .","[('service', 'service general', 'positive', 'friendly')]"
"the restaurant has a family feel , not least with regard to the portions which are enormous ; the veal alone could have single - handedly solved third world famine .","[('restaurant', 'ambience general', 'positive', 'family feel')]"
"the anti - pasta was excellent , especially the calamari , as were the filling pasta mains .","[('anti - pasta', 'food quality', 'positive', 'excellent')]"
the wine list is extensive and can easily hike up an otherwise reasonably priced meal .,"[('wine list', 'drinks style options', 'positive', 'extensive')]"
"still , any quibbles about the bill were off - set by the pour - your - own measures of liquers which were courtesey of the house . . .","[('measures of liquers', 'drinks style options', 'positive', 'pour - your - own')]"
fantastic place .,"[('place', 'restaurant general', 'positive', 'fantastic')]"
a pleasant surprise .,"[('null', 'restaurant general', 'positive', 'pleasant')]"
go there to relax and feel like your somewhere else .,"[('null', 'ambience general', 'positive', 'relax')]"
lucky strike is a great casual place to just grab a bite to eat .,"[('lucky strike', 'restaurant general', 'positive', 'great')]"
"great food , great decor , great service .","[('food', 'food quality', 'positive', 'great')]"
i recommend it !,"[('null', 'restaurant general', 'positive', 'recommend')]"
"this is the perfect spot for meeting friends , having lunch , dinner , pre - theatre or after - theatre drinks !","[('spot', 'restaurant miscellaneous', 'positive', 'perfect')]"
( always ask the bartender for the seasonal beer ! ! !,"[('seasonal beer', 'drinks quality', 'positive', 'null')]"
guaranteed to be a tasty experience ! ),"[('null', 'drinks quality', 'positive', 'tasty')]"
i have been doing all of the above at the heartland brewery for over 5 years now and i have never been disappointed !,"[('heartland brewery', 'restaurant general', 'positive', 'never been disappointed')]"
all the people that i bring there go back on their own and bring their friends !,"[('null', 'restaurant miscellaneous', 'positive', 'null')]"
go there once and oh yes . . . you will go back . . . you will . . .,"[('null', 'restaurant general', 'positive', 'null')]"
"a cool bar with great food , and tons of excellent beer .","[('bar', 'ambience general', 'positive', 'cool')]"
and even with it ' s pub atmosphere they were great to my kids too !,"[('null', 'service general', 'positive', 'null')]"
loved it !,"[('null', 'restaurant general', 'positive', 'loved')]"
the shrimp scampi was excellent and the antipasti were plentiful .,"[('shrimp scampi', 'food quality', 'positive', 'excellent')]"
it is expensive but well worth the money .,"[('null', 'restaurant prices', 'negative', 'expensive')]"
"if you venture off the island of manhattan and ca n ' t seem to find a great italian restaurant , drive to corona .","[('corona', 'restaurant general', 'positive', 'null')]"
the only thing more wonderful than the food ( which is exceptional ) is the service .,"[('food', 'food quality', 'positive', 'exceptional')]"
the only thing the waiters do n ' t do for you is wipe your chin when you leave .,"[('waiters', 'service general', 'positive', 'null')]"
wonderful at holiday time .,"[('null', 'restaurant miscellaneous', 'positive', 'wonderful')]"
cozy romantic atomosphere with only around 15 tables at most .,"[('atomosphere', 'ambience general', 'positive', 'cozy')]"
"food was very good , but not what i would consider out of this world .","[('food', 'food quality', 'neutral', 'good')]"
go here for a romantic dinner but not for an all out wow dining experience .,"[('null', 'ambience general', 'positive', 'romantic')]"
my friend from milan and myself were pleasantly surprised when we arrived and everyone spoke italian .,"[('null', 'restaurant miscellaneous', 'positive', 'surprised')]"
too bad the food was n ' t of the same heritage .,"[('food', 'food quality', 'negative', 'bad')]"
"the porcini mushroom pasta special was tasteless , so was the seafood tagliatelle .","[('porcini mushroom pasta special', 'food quality', 'negative', 'tasteless')]"
a real dissapointment .,"[('null', 'food quality', 'negative', 'dissapointment')]"
but that was n ' t the icing on the cake : a tiramisu that resembled nothing i have ever had .,"[('tiramisu', 'food quality', 'negative', 'nothing')]"
they should have called it mascarpone with chocolate chips - good but a far cry from what the name implies .,"[('null', 'food quality', 'negative', 'null')]"
priced at upper intermediate range .,"[('null', 'restaurant prices', 'negative', 'null')]"
it was pretty inexpensive too .,"[('null', 'restaurant prices', 'positive', 'inexpensive')]"
this place has the best chinese style bbq ribs in the city .,"[('bbq ribs', 'food quality', 'positive', 'best')]"
it ' s great to go for a quick lunch either alone or with a friend .,"[('null', 'restaurant miscellaneous', 'positive', 'great')]"
it ' s definately not a place to go if you want to impress someone .,"[('place', 'restaurant miscellaneous', 'negative', 'impress')]"
"however , if you want great food at a great price and do n ' t mind the decor , you ca n ' t beat this place .","[('food', 'food quality', 'positive', 'great')]"
quick and friendly service .,"[('service', 'service general', 'positive', 'quick')]"
this is one of the best comfort food places in the city .,"[('null', 'restaurant general', 'positive', 'best')]"
it ' s somewhere you can eat and be happy .,"[('null', 'restaurant general', 'positive', 'happy')]"
"when you ' re sitting in their main dining room ( which has a spectacular , hand - painted high ceiling ) you ' d never know there was a world outside .","[('main dining room', 'ambience general', 'positive', 'null')]"
"the food is wonderful , tasty and filling , and the service is professional and friendly .","[('food', 'food quality', 'positive', 'wonderful')]"
"i ca n ' t wait for summer , when they serve outside on their gigantic patio .","[('patio', 'ambience general', 'positive', 'gigantic')]"
this little place definitely exceeded my expectations and you sure get a lot of food for your money .,"[('food', 'food style options', 'positive', 'null')]"
the service was fast and friendly and the food was very tasty and they had the best hot sauce to add to your meals .,"[('service', 'service general', 'positive', 'fast')]"
i have to say that i am pleasantly suprised and i will most likely stop in again if i am in the neighborhood .,"[('null', 'restaurant general', 'positive', 'pleasantly suprised')]"
they all know you .,"[('null', 'service general', 'positive', 'null')]"
good food .,"[('food', 'food quality', 'positive', 'good')]"
good drink .,"[('drink', 'drinks quality', 'positive', 'good')]"
how do you rate home ?,"[('null', 'restaurant miscellaneous', 'positive', 'null')]"
i have never had cheescake like this .,"[('cheescake', 'food quality', 'positive', 'null')]"
i thought i had died and gone to heaven .,"[('null', 'food quality', 'positive', 'null')]"
"great spot , whether looking for a couple of drinks or quiet dinner .","[('spot', 'restaurant general', 'positive', 'great')]"
warm and friendly in the winter and terrific outdoor seating in the warmer months .,"[('outdoor seating', 'ambience general', 'positive', 'terrific')]"
the food is great and they have a good selection of wines at reasonable prices .,"[('food', 'food quality', 'positive', 'great')]"
we were less than impressed .,"[('null', 'restaurant general', 'negative', 'less than impressed')]"
"while the ambiance and atmosphere were great , the food and service could have been a lot better .","[('ambiance', 'ambience general', 'positive', 'great')]"
"we ordered the chicken casserole , but what we got were a few small pieces of chicken , all dark meat and on the bone .","[('chicken casserole', 'food quality', 'negative', 'null')]"
probably would not go again . . .,"[('null', 'restaurant general', 'negative', 'null')]"
"i ' ve been to sapphire twice and both times the food was fine , if not good .","[('food', 'food quality', 'positive', 'fine')]"
"stick with the chicken , beef , and lamb dishes .","[('chicken', 'food quality', 'positive', 'stick')]"
"service is friendly , and never had a problem walking in and getting a table .","[('service', 'service general', 'positive', 'friendly')]"
skip dessert .,"[('dessert', 'food quality', 'negative', 'skip')]"
best reuben sandwich ever !,"[('reuben sandwich', 'food quality', 'positive', 'best')]"
a classic !,"[('null', 'food quality', 'positive', 'classic')]"
do n ' t miss bloom ' s on your next trip to manhatten .,"[(""bloom ' s"", 'restaurant general', 'negative', ""n ' t miss"")]"
"it was the first place we ate on our first trip to new york , and it will be the last place we stop as we head out of town on our next trip to new york .","[('place', 'restaurant miscellaneous', 'positive', 'null')]"
thanks bloom ' s for a lovely trip .,"[(""bloom ' s"", 'restaurant general', 'positive', 'lovely')]"
"the food was not fresh , the sauces were bland and very oily .","[('food', 'food quality', 'negative', 'not fresh')]"
it just was n ' t thai .,"[('null', 'food quality', 'negative', 'null')]"
was surprisingly disappointed .,"[('null', 'food quality', 'negative', 'disappointed')]"
pizza was a little soggy .,"[('pizza', 'food quality', 'negative', 'soggy')]"
ravioli was good . . . but i have to say that i found everything a bit overpriced .,"[('ravioli', 'food quality', 'positive', 'good')]"
not enough wines by the glass either .,"[('wines by the glass', 'drinks style options', 'negative', 'not enough')]"
"service , however , was excellent . . . and i liked the setting / atmosphere a lot .","[('service', 'service general', 'positive', 'excellent')]"
"food was just average . . . if they lowered the prices just a bit , it would be a bigger draw .","[('food', 'food quality', 'neutral', 'average')]"
authentic pakistani food .,"[('pakistani food', 'food quality', 'positive', 'authentic')]"
"just straight up cheap , good food .","[('food', 'food quality', 'positive', 'good')]"
faan is sooo good .,"[('faan', 'restaurant general', 'positive', 'good')]"
the design and atmosphere is just as good .,"[('design', 'ambience general', 'positive', 'good')]"
bottles of wine are cheap and good .,"[('bottles of wine', 'drinks prices', 'positive', 'cheap')]"
what more could you want ?,"[('null', 'restaurant general', 'positive', 'null')]"
the food was actually aweful .,"[('food', 'food quality', 'negative', 'aweful')]"
i ' m not picky - but it was actually gross .,"[('null', 'food quality', 'negative', 'gross')]"
"the mussles were the fishiest things i ' ve ever tasted , the seabass was bland , the goat cheese salad was missing the goat cheese , the penne w / chicken had bones in it . . . it was disgusting .","[('mussles', 'food quality', 'negative', 'fishiest')]"
"nice atmosphere , the service was very pleasant and the desert was good .","[('atmosphere', 'ambience general', 'positive', 'nice')]"
this is the perfect date spot for williamsburg couples .,"[('null', 'restaurant miscellaneous', 'positive', 'perfect')]"
the jukebox plays everything from italian opera to the strokes .,"[('jukebox', 'ambience general', 'positive', 'null')]"
"the food is amazing , rich pastas and fresh doughy pizza .","[('food', 'food quality', 'positive', 'amazing')]"
"best of all is the warm vibe , the owner is super friendly and service is fast .","[('vibe', 'ambience general', 'positive', 'warm')]"
"if only they delivered , they ' d make a mint !","[('null', 'restaurant miscellaneous', 'neutral', 'null')]"
go here for the drinks !,"[('drinks', 'drinks quality', 'positive', 'null')]"
the drinks are amazing and half off till 8pm .,"[('drinks', 'drinks quality', 'positive', 'amazing')]"
my fav was the sassy lassi . . .,"[('sassy lassi', 'drinks quality', 'positive', 'fav')]"
