text,annotations
love these chromebooks !,"[('chromebooks', 'laptop general', 'positive', 'love')]"
"i find this chrome book is so much easy to use , it start up fast it is light weight ready to carry when traveling .","[('chrome book', 'laptop usability', 'positive', 'easy')]"
i can use this for school .,"[('null', 'laptop usability', 'neutral', 'null')]"
this is exactly what i need and nothing more .,"[('null', 'laptop general', 'positive', 'null')]"
i like this chromebook a lot .,"[('chromebook', 'laptop general', 'positive', 'like')]"
it is very helpful and it is very fast .,"[('null', 'laptop general', 'positive', 'helpful')]"
the battery will last a full day or two so it ' s very good for a middle school student .,"[('battery', 'battery operation performance', 'positive', 'good')]"
the only thing is that it does ' t have too much storage room .,"[('null', 'memory general', 'negative', 'null')]"
i do n ' t think 16 gb is enough .,"[('null', 'memory design features', 'negative', 'null')]"
greatest thing i ' ve bought myself in a long time .,"[('null', 'laptop general', 'positive', 'greatest')]"
such a perfect little computer .,"[('computer', 'laptop general', 'positive', 'perfect')]"
not happy that the l and the quotation mark key no longer work unless i bang on them .,"[('l and the quotation mark key', 'keyboard quality', 'negative', 'not happy')]"
excellent chromebooks !,"[('chromebooks', 'laptop general', 'positive', 'excellent')]"
we purchased 6 of these chromebooks for our organization and they work very well .,"[('chromebooks', 'laptop operation performance', 'positive', 'well')]"
battery life is excellent and our students love them !,"[('battery life', 'battery general', 'positive', 'excellent')]"
great machine for all my needs .,"[('machine', 'laptop general', 'positive', 'great')]"
easiest computer to start up ever .,"[('computer', 'laptop usability', 'positive', 'easiest')]"
"original order arrived with damaged screen ; however , i contacted amazon and 2 days later i had the replacement .","[('screen', 'display quality', 'negative', 'damaged')]"
it works great for what i need .,"[('null', 'laptop operation performance', 'positive', 'great')]"
"screen is not amazing but for the price , it gets the job done fine .","[('screen', 'display general', 'neutral', 'not amazing')]"
the battery life is outstanding and the quality is great .,"[('battery life', 'battery operation performance', 'positive', 'outstanding')]"
"although the sound is not that good , this device replaced my ipad and i have never missed it !","[('device', 'laptop general', 'positive', 'null')]"
he likes it,"[('null', 'laptop general', 'positive', 'likes')]"
this computer has a great battery life and it is just like every other computer just smaller size and it is a great brand name .,"[('computer', 'laptop design features', 'neutral', 'null')]"
its is small and lite and the battery dose last long .,"[('null', 'laptop design features', 'positive', 'small')]"
for the price i think it ' s just fine .,"[('null', 'laptop price', 'positive', 'fine')]"
this is perfect for my needs .,"[('null', 'laptop general', 'positive', 'perfect')]"
"i am able to write , look up facts on the internet , and it has a pretty good battery life .","[('battery life', 'battery general', 'positive', 'good')]"
great for what i use it for .,"[('null', 'laptop general', 'positive', 'great')]"
"only used it a short while , but it seems like a sturdy nice little laptop .","[('laptop', 'laptop quality', 'positive', 'sturdy')]"
i bought this for a light user and it seems like the chrome os is going to work well for her - simple and quick .,"[('chrome os', 'os operation performance', 'positive', 'well')]"
i ' m satisfied with the product .,"[('product', 'laptop general', 'positive', 'satisfied')]"
i love it .,"[('null', 'laptop general', 'positive', 'love')]"
love it !,"[('null', 'laptop general', 'positive', 'love')]"
screen resolution could be slightly better .,"[('screen resolution', 'display operation performance', 'positive', 'better')]"
"very satisfied with simplicity of use , the streamlining of the google products , and the considerable battery life .","[('null', 'laptop usability', 'positive', 'satisfied')]"
battery life is superb,"[('battery life', 'battery operation performance', 'positive', 'superb')]"
picked this up as something light and easy to carry around for working on personal coding projects while riding the bus .,"[('null', 'laptop portability', 'positive', 'light')]"
he ' s very happy with it .,"[('null', 'laptop general', 'positive', 'happy')]"
great little computer .,"[('computer', 'laptop general', 'positive', 'great')]"
good screen definition .,"[('screen definition', 'display general', 'positive', 'good')]"
i was worried about the battery life because of the reviews .,"[('battery life', 'battery general', 'negative', 'worried')]"
"however , i haven ' t had any disappoint with the battery .","[('battery', 'battery operation performance', 'positive', ""' t had any disappoint"")]"
works great .,"[('null', 'laptop operation performance', 'positive', 'great')]"
daughter school uses chrome for everything .,"[('chrome', 'software usability', 'positive', 'null')]"
granddaughter so loves it said it ' s the best christmas present ever,"[('null', 'laptop general', 'positive', 'loves')]"
perfect ` ` computer ` ` for my young child .,"[('computer', 'laptop general', 'positive', 'perfect')]"
so far no problems except i tried to print something from my email and am having trouble linking to my printer .,"[('printer', 'laptop connectivity', 'negative', 'null')]"
we are loving this chromebook !,"[('chromebook', 'laptop general', 'positive', 'loving')]"
the os doesn ' t leave menu bar at the top for copying in programs for studies .,"[('os', 'os usability', 'negative', 'null')]"
this is a great notebook .,"[('notebook', 'laptop general', 'positive', 'great')]"
good quality .,"[('null', 'laptop quality', 'positive', 'good')]"
priced well .,"[('null', 'laptop price', 'positive', 'well')]"
but you ca n ' t beat the price .,"[('null', 'laptop price', 'positive', 'null')]"
i love this little chrome book .,"[('chrome book', 'laptop general', 'positive', 'love')]"
it ' s so easy to travel with .,"[('null', 'laptop portability', 'positive', 'easy')]"
ca n ' t use itunes and stuff like that but it ' s ok still great .,"[('null', 'laptop general', 'positive', 'ok')]"
my daughter ordered the chromebook with her graduation money and she loves it .,"[('chromebook', 'laptop general', 'positive', 'loves')]"
this little computer is very fast and does a great job .,"[('computer', 'laptop operation performance', 'positive', 'fast')]"
very pleased with this computer .,"[('computer', 'laptop general', 'positive', 'pleased')]"
package arrived faster than the estimated arrival .,"[('package', 'shipping operation performance', 'positive', 'faster')]"
the computer runs great .,"[('computer', 'laptop operation performance', 'positive', 'great')]"
1 month update : chromebook is still working great .,"[('chromebook', 'laptop operation performance', 'positive', 'great')]"
blackboard works fine for me .,"[('blackboard', 'software operation performance', 'positive', 'fine')]"
speaker is only good for watching a movie in a quiet room .,"[('speaker', 'multimedia devices operation performance', 'negative', 'null')]"
i really like my chromebook .,"[('chromebook', 'laptop general', 'positive', 'like')]"
everything works great .,"[('null', 'laptop operation performance', 'positive', 'great')]"
great chromebook .,"[('chromebook', 'laptop general', 'positive', 'great')]"
has all the top features and runs fast .,"[('null', 'laptop operation performance', 'positive', 'fast')]"
they do a ton of online homework and this is perfect for them .,"[('null', 'laptop general', 'positive', 'perfect')]"
"this does exactly what i need , writing on google docs .","[('null', 'laptop usability', 'positive', 'null')]"
"only thing is i am not sure if there is a delete key , something i use a lot","[('delete key', 'keyboard design features', 'neutral', 'null')]"
this is a great laptop .,"[('laptop', 'laptop general', 'positive', 'great')]"
so easy to use and is not that slow like some say works just fine for casual use .,"[('null', 'laptop usability', 'positive', 'easy')]"
i got this for my mother in law and she could not be happier with how it works .,"[('null', 'laptop operation performance', 'positive', 'not be happier')]"
"it was free with my phone , so the price was phenomenal .","[('null', 'laptop price', 'positive', 'phenomenal')]"
solid chromebook .,"[('chromebook', 'laptop quality', 'positive', 'solid')]"
i like the ease of connecting to the internet wi - fi .,"[('wi - fi', 'laptop connectivity', 'positive', 'ease')]"
"such a good investment , its so useful and works perfectly .","[('null', 'laptop general', 'positive', 'good')]"
i woudlnt recommend more than 10 active tabs which slows down some of the functionality but otherwise runs smoothly for students,"[('null', 'laptop operation performance', 'positive', 'recommend')]"
"this device is mainly used for web browsing and pages load quickly , animations are swift and not laggy .","[('device', 'laptop operation performance', 'positive', 'swift')]"
"buy this thing if you want a cheap , snappy web browser on - the - go .","[('null', 'laptop operation performance', 'positive', 'snappy')]"
"i am beyond impressed with this little machine , i would absolutly buy this again !","[('machine', 'laptop general', 'positive', 'impressed')]"
"battery works well , i get nearly 4 to 5 hours easily .","[('battery', 'battery operation performance', 'positive', 'well')]"
this item is excellent and not bad for the price .,"[('item', 'laptop general', 'positive', 'excellent')]"
"i just got mine the other day , & am still getting used to it , but at the moment i couldn ' t be happier , it will do everything i want it to do , & i couldn ' t care less about the things it won ' t do .","[('null', 'laptop general', 'positive', ""' t be happier"")]"
i would recommend this machine to anyone who wants an inexpensive web - content device .,"[('machine', 'laptop price', 'positive', 'inexpensive')]"
choose this one .,"[('null', 'laptop general', 'positive', 'null')]"
"the overall durability is a bit suspect but with the price tag , it is essentially a 1 - 2 year investment for school .","[('null', 'laptop operation performance', 'negative', 'suspect')]"
"chromebooks are extremely light , easy to type on and come with complete integration into google cloud services like drive , docs and spreadsheets .","[('chromebooks', 'laptop usability', 'positive', 'easy')]"
works well for writing novels which is what i bought it for .,"[('null', 'laptop operation performance', 'positive', 'well')]"
it printed easily to our wireless printer too !,"[('null', 'laptop operation performance', 'positive', 'easily')]"
kinda small but good quality !,"[('null', 'laptop design features', 'negative', 'small')]"
she loves it .,"[('null', 'laptop general', 'positive', 'loves')]"
love this took place of my laptop .,"[('laptop', 'laptop general', 'positive', 'love')]"
i love my laptop !,"[('laptop', 'laptop general', 'positive', 'love')]"
great laptop for a good price too !,"[('laptop', 'laptop general', 'positive', 'great')]"
"great buy , love the smaller size too !","[('null', 'laptop general', 'positive', 'great')]"
this little computer is awesome and it was so inexpensive for what you get !,"[('computer', 'laptop general', 'positive', 'awesome')]"
very happy with this purchase,"[('null', 'laptop general', 'positive', 'happy')]"
"delivered quickly , easy set up .","[('null', 'shipping quality', 'positive', 'quickly')]"
surprisingly fast for such a small chrome book .,"[('chrome book', 'laptop operation performance', 'positive', 'fast')]"
worked well when i had it .,"[('null', 'laptop operation performance', 'positive', 'well')]"
love the mobility of this .,"[('mobility', 'laptop portability', 'positive', 'love')]"
easy to use .,"[('null', 'laptop usability', 'positive', 'easy')]"
i bought this for a linux machine and it does that just great .,"[('linux machine', 'laptop operation performance', 'positive', 'great')]"
"another thing , it is much thinner than expected .","[('null', 'laptop design features', 'positive', 'thinner')]"
nice little notebook !,"[('notebook', 'laptop general', 'positive', 'nice')]"
i love this one !,"[('null', 'laptop general', 'positive', 'love')]"
"i don ' t do much more than google searches , so the lower end model works great for me .","[('model', 'laptop general', 'positive', 'great')]"
i am very happy with this item .,"[('item', 'laptop general', 'positive', 'happy')]"
long battery life .,"[('battery life', 'battery operation performance', 'positive', 'long')]"
lenovo has not disappointed with their products .,"[('lenovo', 'company general', 'positive', 'not disappointed')]"
it ' s a solid and quality built laptop .,"[('laptop', 'laptop quality', 'positive', 'solid')]"
"overall for the price range , it ' s a fantastic laptop .","[('laptop', 'laptop price', 'positive', 'fantastic')]"
2 ) the battery was pretty limited .,"[('battery', 'battery operation performance', 'negative', 'limited')]"
"the computer has a solid processor and enough memory to handle pretty much anything the average user willl throw at it , short of graphics - heavy gaming .","[('memory', 'memory quality', 'positive', 'null')]"
"that said : if you can deal with the short battery life , you ' re not going to find a better machine at this price .","[('battery life', 'battery general', 'negative', 'short')]"
"the case is solid and attractive , the keyboard responsive and comfortable to use ( nice touch with the dedicated number keypad too ! )","[('case', 'hardware general', 'positive', 'solid')]"
it is an okay laptop and nothing more .,"[('laptop', 'laptop general', 'neutral', 'okay')]"
beautiful resolution,"[('resolution', 'display general', 'positive', 'beautiful')]"
bigger screen,"[('screen', 'display general', 'positive', 'bigger')]"
nice keyboard,"[('keyboard', 'keyboard general', 'positive', 'nice')]"
"the charge cord is very short , about 1 / 2 the size of a regular charging cord","[('charge cord', 'power supply design features', 'negative', 'short')]"
the battery capacity is 3 hours on a full charge,"[('battery capacity', 'battery quality', 'negative', 'null')]"
the small battery capacity is the number one reason i would not buy this product and would recommend with that caveat being disclosed .,"[('battery capacity', 'battery quality', 'negative', 'small')]"
great item !,"[('item', 'laptop general', 'positive', 'great')]"
"laptop was new , in perfect condition and works like a charm .","[('laptop', 'laptop general', 'positive', 'perfect')]"
"mem , hdd , screed , dvd drive are all easily accessible and removable .","[('mem', 'memory usability', 'positive', 'accessible')]"
720p screen that ' s not very bright .,"[('720p screen', 'display operation performance', 'negative', 'not very bright')]"
short charging cable .,"[('charging cable', 'power supply design features', 'negative', 'short')]"
i ' m giving this five stars considering the price .,"[('null', 'laptop price', 'positive', 'null')]"
"it can also run modded skyrim with no issues , which is nice bonus for me .","[('null', 'laptop general', 'positive', 'nice')]"
"all in all , as long as you update windows often and tinker with it a little , you can get that laptop to do practically anything you want it to do .","[('laptop', 'laptop general', 'positive', 'null')]"
"lots of space , fast , and it will last a long time with ita top shelf technology .","[('null', 'laptop design features', 'positive', 'null')]"
but overall a good laptop for productivity .,"[('laptop', 'laptop quality', 'positive', 'good')]"
good laptop thank you .,"[('laptop', 'laptop general', 'positive', 'good')]"
"right out of the box , this computer is really slow , but two simple steps easily fix that issue .","[('computer', 'laptop general', 'negative', 'slow')]"
"overall , its a decent machine for the money , and for $ 35 more for a cheap ssd , it really works great for a low buck budget friendly laptop .","[('machine', 'laptop price', 'positive', 'decent')]"
my girlfriend works from home with it and has no problems at all to do online classes with it .,"[('null', 'laptop general', 'positive', 'null')]"
decent laptop for home use .,"[('laptop', 'laptop general', 'positive', 'decent')]"
the price is right too .,"[('null', 'laptop price', 'positive', 'right')]"
"great value , i wanted a laptop for my personal home use .","[('laptop', 'laptop general', 'positive', 'great')]"
"this is actually the first laptop that fitted all my needs , big clear screen , battery life sucks but this is a power house laptop meant to be in one place since its so big , very good computer replacement , amazing sound and screen and very fast .","[('screen', 'display design features', 'positive', 'big')]"
great product and price,"[('product', 'laptop general', 'positive', 'great')]"
this laptop is great for a lot of modern games .,"[('laptop', 'laptop general', 'positive', 'great')]"
bought this for web surfing at home .,"[('null', 'laptop general', 'neutral', 'null')]"
price is good,"[('null', 'laptop price', 'positive', 'good')]"
the large screen and integral numeric pad are exactly what i need to easily process documents .,"[('screen', 'display design features', 'positive', 'large')]"
"highly recommend , great value , use computer mainly for online business and is quick and easy to use","[('computer', 'laptop general', 'positive', 'recommend')]"
ordered this computer to use in college and also for gaming .,"[('computer', 'laptop general', 'neutral', 'null')]"
"although it can be a little slow at times , overall it runs great , and can run most popular games at a decent fps on medium settings .","[('null', 'laptop general', 'negative', 'slow')]"
"the computer looks nice , and works good .","[('computer', 'laptop general', 'positive', 'nice')]"
love love love this laptop !,"[('laptop', 'laptop general', 'positive', 'love')]"
what a tragic mistake buying a computer with windows 10 !,"[('computer with windows 10', 'os general', 'negative', 'tragic')]"
great laptop great price .,"[('laptop', 'laptop general', 'positive', 'null')]"
great customer service .,"[('customer service', 'support general', 'positive', 'great')]"
good computer good memory,"[('computer', 'laptop general', 'positive', 'null')]"
amazing laptop !,"[('laptop', 'laptop general', 'positive', 'amazing')]"
this laptop is the best of both worlds,"[('laptop', 'laptop general', 'positive', 'best')]"
not bad for the a basic betty or plain jane laptop,"[('laptop', 'laptop general', 'neutral', 'not bad')]"
i only wish this laptop had a removable battery other than that it ' s great .,"[('battery', 'battery design features', 'negative', 'null')]"
( not amazing graphics at those settings ),"[('graphics', 'graphics operation performance', 'neutral', 'not amazing')]"
solid inexpensive computer for our 10 year old,"[('computer', 'laptop design features', 'positive', 'solid')]"
"very happy with my purchase , fast delivery , package well .","[('delivery', 'shipping quality', 'positive', 'fast')]"
great little laptop for the money .,"[('laptop', 'laptop price', 'positive', 'great')]"
good laptop .,"[('laptop', 'laptop general', 'positive', 'good')]"
you just have to deal with a low battery and that ' s all,"[('battery', 'battery operation performance', 'negative', 'low')]"
it is a little slow at times though .,"[('null', 'laptop operation performance', 'negative', 'slow')]"
"great laptop , would not recommend for hardcore gaming , but light gaming it can handle .","[('laptop', 'laptop general', 'positive', 'great')]"
this has worked great to overcome that problem .,"[('null', 'laptop general', 'positive', 'great')]"
great amount of memory for a small business .,"[('memory', 'memory general', 'positive', 'great')]"
we are very happy with the lenovo laptop .,"[('lenovo laptop', 'laptop general', 'positive', 'happy')]"
it ' s very easy to set up and use,"[('set up', 'laptop usability', 'positive', 'easy')]"
once i got it set up it has been very nice .,"[('set up', 'laptop general', 'positive', 'nice')]"
"noisy hdr , better with ssd ) works quickly .","[('hdr', 'hard disc operation performance', 'negative', 'noisy')]"
"so far so good , good quality , plenty fast enough for streaming and browsing .","[('null', 'laptop general', 'positive', 'good')]"
my dad says it works extremely well !,"[('null', 'laptop general', 'positive', 'well')]"
love this computer !,"[('computer', 'laptop general', 'positive', 'love')]"
love my new lenovo .,"[('lenovo', 'company general', 'positive', 'love')]"
pretty fast processor .,"[('processor', 'cpu operation performance', 'positive', 'fast')]"
"excellent lapto , just as they show it .","[('lapto', 'laptop general', 'positive', 'excellent')]"
"very good laptop for gamers and editing videos , love it","[('laptop', 'laptop general', 'positive', 'good')]"
it is very good to use in korea .,"[('null', 'laptop usability', 'positive', 'good')]"
"good price , good quality and good service in korea .","[('null', 'laptop price', 'positive', 'null')]"
love it !,"[('null', 'laptop general', 'positive', 'love')]"
nice laptop !,"[('laptop', 'laptop general', 'positive', 'nice')]"
the best laptop for its price .,"[('laptop', 'laptop price', 'positive', 'best')]"
"i recommend it , definitely","[('null', 'laptop general', 'positive', 'recommend')]"
it ' s exactly as i wanted it,"[('null', 'laptop general', 'positive', 'null')]"
i like it,"[('null', 'laptop general', 'positive', 'like')]"
this is the most well priced laptop for its spec,"[('laptop', 'laptop price', 'positive', 'well')]"
very good laptop,"[('laptop', 'laptop general', 'positive', 'good')]"
lenovo computers are of chinese manufacture and thus you will not know if yours is one of the pla ' s cyber - spies .,"[('lenovo computers', 'company general', 'neutral', 'null')]"
battery life short,"[('battery life', 'battery operation performance', 'negative', 'short')]"
i ' ve had this laptop for 4 months and it ' s run very well considering it ' s price .,"[('laptop', 'laptop operation performance', 'positive', 'well')]"
"only issue is that the graphics aren ' t quite as good as i expected , but i didn ' t buy this to use as a gaming pc so i ' m not overly concerned about it .","[('graphics', 'graphics operation performance', 'neutral', ""' t quite as good as"")]"
"this is a great laptop for web browsing , skype , and more simple games .","[('laptop', 'laptop operation performance', 'positive', 'great')]"
photoshop also runs very well .,"[('photoshop', 'software operation performance', 'positive', 'well')]"
i would definitely recommend this laptop to anyone who is looking for a cheap and nice computer .,"[('laptop', 'laptop general', 'positive', 'recommend')]"
love it .,"[('null', 'laptop general', 'positive', 'love')]"
very happy with it .,"[('null', 'laptop general', 'positive', 'happy')]"
"excellent computer , better than expected .","[('computer', 'laptop general', 'positive', 'excellent')]"
great service with amazon on fulfilling my order .,"[('service with amazon', 'support general', 'positive', 'great')]"
i am truly enjoying my laptop after one month .,"[('laptop', 'laptop general', 'positive', 'enjoying')]"
i use it for streaming with the elgato device and it doesn ' t miss a beat .,"[('null', 'laptop operation performance', 'positive', 'null')]"
you can ' t beat the price for what you are getting with this computer .,"[('computer', 'laptop price', 'positive', 'null')]"
love the graphics when i replay my videos or watch other streamers .,"[('graphics', 'display operation performance', 'positive', 'love')]"
"if you need a decent computer that runs quality this is it , especially if you are starting out .","[('computer', 'laptop general', 'positive', 'decent')]"
the fans did not turn on loudly if at all .,"[('fans', 'fans cooling operation performance', 'positive', 'null')]"
purchased as a mothers day gift but i ' ve come to respect the quality and performance of lenovo .,"[('lenovo', 'laptop quality', 'positive', 'respect')]"
"i bought this because i have a desk job overnight that usually has a lot of down time so i when i have the ability to i can open this up and catch up on my news , watch movies , and even play video games and the graphics card in it is amazing .","[('null', 'laptop usability', 'positive', 'amazing')]"
"fast delivery , thanks to amazon .","[('delivery', 'shipping operation performance', 'positive', 'fast')]"
"excellent price , i bought it for a beginner in art design field .","[('null', 'laptop price', 'positive', 'excellent')]"
it ' s been about 3 weeks since my purchase of my lenova laptop and figure it ' s time to give my all important review .,"[('lenova laptop', 'laptop general', 'neutral', 'null')]"
love the price reduction and the lenova one year warranty .,"[('lenova one year warranty', 'warranty general', 'positive', 'love')]"
"pros : nice size , clear screen , quick on start up , very functional and easy to use .","[('null', 'laptop design features', 'positive', 'nice')]"
"it ' s also very lightweight , so it ' s easy to carry around .","[('null', 'laptop design features', 'positive', 'lightweight')]"
i love the fact that it can extend and be flat .,"[('null', 'laptop design features', 'positive', 'love')]"
the keyboard is a nice size and the pads clicks on touch and not stiff or hard .,"[('keyboard', 'keyboard design features', 'positive', 'nice')]"
it also has a lot of space and memory .,"[('null', 'laptop design features', 'positive', 'null')]"
cons : i wished it had a backlight on the keyboard .,"[('null', 'keyboard design features', 'negative', 'cons')]"
the battery life sucks as it starts to die after 3 - 4 hours of use ( no gaming ) .,"[('battery life', 'battery operation performance', 'negative', 'sucks')]"
"lastly , the touch pad , even after lowering the sensitivity , it ' s still pretty sensitive and the click pads are stiff , so it doesn ' t tap on clicks , sometimes i have to click on it hard enough , so that ' s a bit annoying .","[('touch pad', 'keyboard operation performance', 'negative', 'annoying')]"
"after reading a lot of the reviews on here , i was unsure about laptop .","[('laptop', 'laptop general', 'neutral', 'null')]"
"only con would be that display is not that bright , although i would say at the brightest setting is probably where it should be .","[('display', 'display operation performance', 'negative', 'con')]"
also audio is pretty decent .,"[('audio', 'multimedia devices general', 'positive', 'decent')]"
"lenovo should put a better battery in it , and should make a retrofit available .","[('better', 'company design features', 'negative', 'null')]"
but if you keep it plugged in it ' s great !,"[('null', 'laptop operation performance', 'positive', 'great')]"
"lenovo paid for my shipping to the repair facility since i ' d had it such a short time , and they fixed and returned it in a reasonable time period .","[('lenovo', 'support operation performance', 'positive', 'reasonable')]"
"have not tried customer service so no comment , but this is a nice sub $ 400 machine .","[('machine', 'laptop price', 'positive', 'nice')]"
i love this laptop !,"[('laptop', 'laptop general', 'positive', 'love')]"
it works like it is made to run linux .,"[('null', 'laptop operation performance', 'positive', 'null')]"
the only real complain is the same one everyone else has with this model and that is the battery life could be better .,"[('battery life', 'battery operation performance', 'negative', 'null')]"
it does great and has lots of cool stuff,"[('null', 'laptop general', 'positive', 'great')]"
excellent product and experience with the purchase .,"[('product', 'laptop general', 'positive', 'excellent')]"
but the worse webcam i ' ve seen in a while and the battery dies very fast .,"[('webcam', 'out of scope general', 'negative', 'worse')]"
it was easy to set up .,"[('null', 'laptop usability', 'positive', 'easy')]"
it is a very good laptop .,"[('null', 'laptop general', 'positive', 'good')]"
laptop meets spec for what it was purchased to do but disappointed it was shipped with a charger not compatible with location it was shipped to ( needed to buy an adapter to convert from 2 pin to 3 pin plug ),"[('laptop', 'laptop general', 'positive', 'null')]"
it has everything he wanted and needs .,"[('null', 'laptop general', 'positive', 'null')]"
we have always liked lenovo laptops .,"[('lenovo laptops', 'company general', 'positive', 'liked')]"
love it so far very nice product and it do what it is set out to do,"[('product', 'laptop general', 'positive', 'love')]"
i got this lenovo ideapad 320 ( the amd a12 7th generation version ) and it ' s absolutely incredible !,"[('lenovo ideapad 320', 'laptop general', 'positive', 'incredible')]"
really fast also lenovo ' s customer service excellent .,"[('null', 'laptop operation performance', 'positive', 'fast')]"
cons hd display is n ' t the greatest,"[('hd display', 'display general', 'negative', 'cons')]"
battery last 2 1 / 2 hours,"[('battery', 'battery operation performance', 'neutral', 'null')]"
i bought mine this year february and the laptop is very awesome the boot speed is perfect and the gaming it ' s fine as well and yeah i can say it depends on what you want to use with your laptop but overall the laptop is fine the only problem is the cooling fan it is too loud but the processor the ram the storage it ' s fine,"[('laptop', 'laptop general', 'positive', 'awesome')]"
i don ' t like the fact that the battery go low very fast .,"[('battery', 'battery operation performance', 'negative', 'fast')]"
"it has way more than i will ever need because all i do is check my email and facebook , but it is crazy fast .","[('null', 'laptop operation performance', 'positive', 'fast')]"
i don ' t really have anywhere to rest my hand when i use it because it ' s so large .,"[('null', 'keyboard design features', 'negative', 'large')]"
otherwise i really do love it,"[('null', 'laptop general', 'positive', 'love')]"
plenty of memory and storage .,"[('memory', 'memory general', 'positive', 'null')]"
love this laptop,"[('laptop', 'laptop general', 'positive', 'love')]"
i am very happy with this laptop .,"[('laptop', 'laptop general', 'positive', 'happy')]"
the screen is just right .,"[('screen', 'display general', 'positive', 'right')]"
i bought this for my daughter for school and she loves it .,"[('null', 'laptop general', 'positive', 'loves')]"
the specs are good on this for a good cheap low end gaming machine .,"[('specs', 'laptop design features', 'positive', 'good')]"
so before you get angry do your homework on why the laptop may be acting strange .,"[('laptop', 'laptop general', 'negative', 'angry')]"
great computer .,"[('computer', 'laptop general', 'positive', 'great')]"
"fast , sturdy with a beautiful display","[('null', 'laptop operation performance', 'positive', 'fast')]"
"1 , bloatware from hell and 2 , a very cheap crappy 5400rpm hdd .","[('bloatware', 'software general', 'negative', 'null')]"
multitasking is pretty good .,"[('multitasking', 'laptop operation performance', 'positive', 'good')]"
battery is okay .,"[('battery', 'battery general', 'neutral', 'okay')]"
keyboard is pretty damn good and the track pad is fair .,"[('keyboard', 'keyboard general', 'positive', 'good')]"
"fan noise could be a bit quieter when the cpu is being taxed but not annoyingly loud either , under lite use the pc is silent .","[('fan', 'fans cooling operation performance', 'neutral', 'null')]"
"has ac wireless so you can see the 5ghz on your network , blazing fast .","[('ac wireless', 'ports operation performance', 'positive', 'fast')]"
at this price range it is a fine screen .,"[('screen', 'display price', 'positive', 'fine')]"
great laptop if you are willing to put in an ssd and reinstall windows .,"[('laptop', 'laptop general', 'positive', 'great')]"
it is very easy to use the set up was awesome .,"[('set up', 'software usability', 'positive', 'easy')]"
that said if you ' re not a computer savvy no worries as soon as you turn it on cortana the computers assistant walks you through everything that you need to do .,"[('null', 'os general', 'positive', 'null')]"
i have had no issues with it since i bought it i would highly recommend it .,"[('null', 'laptop general', 'positive', 'recommend')]"
i loved how fast it was .,"[('null', 'laptop operation performance', 'positive', 'loved')]"
"also can not just ` ` add ` ` memory ddms : only one socket means you must remove the 8gb and purchace a 16gb ( ~ $ 180 further investment ) ; battery not gon na last several hrs , looking at ~ 2 - 4 .","[('memory ddms', 'memory general', 'neutral', 'null')]"
i love this laptop so far .,"[('laptop', 'laptop general', 'positive', 'love')]"
the start up process was very simple and relatively quick .,"[('start up', 'os operation performance', 'positive', 'quick')]"
i was able to download all of my games in a quick amount of time too .,"[('null', 'laptop operation performance', 'positive', 'quick')]"
"the laptop is the perfect size , it ' s not too heavy and it ' s slim .","[('laptop', 'laptop design features', 'positive', 'perfect')]"
have had mine for about 3 - 4 wks and have had no trouble .,"[('null', 'laptop general', 'positive', 'null')]"
"the tech and the quantities ( ram , etc . )","[('null', 'laptop miscellaneous', 'positive', 'null')]"
i love my laptop but the battery life is the worst i ' ve ever had on a laptop .,"[('laptop', 'laptop general', 'positive', 'love')]"
it ' s still loading and working pretty fast and you ca n ' t beat the storage for the price .,"[('null', 'laptop operation performance', 'positive', 'fast')]"
overall i ' m happy with it for what i use it for .,"[('null', 'laptop general', 'positive', 'happy')]"
if your main priority is a long lasting battery this is n ' t for you .,"[('battery', 'battery general', 'negative', 'null')]"
great price for a nice laptop .,"[('laptop', 'laptop price', 'positive', 'nice')]"
bought this for my daughter ' s senior year of college and she ' s very happy .,"[('null', 'laptop general', 'positive', 'happy')]"
it is a very nice computer that serves his needs very well .,"[('computer', 'laptop general', 'positive', 'nice')]"
"8g is enough to do most daily activities , i use nvidia geforce now to play much higher end games like destiny 2 , r6 and what not .","[('nvidia geforce', 'graphics general', 'neutral', 'null')]"
the only cons are the battery and the brightness of the screen .,"[('battery', 'battery general', 'negative', 'cons')]"
this is a brand i look for that i feel i can trust .,"[('brand', 'company general', 'positive', 'null')]"
works great and looks great .,"[('null', 'laptop operation performance', 'positive', 'great')]"
great buy .,"[('null', 'laptop general', 'positive', 'great')]"
"the laptop works well , i have no complaints .","[('laptop', 'laptop operation performance', 'positive', 'well')]"
the only draw back with this pc is the battery life which lasts about 3 hrs before needing to be charged .,"[('battery life', 'battery operation performance', 'negative', 'draw back')]"
nice little computer for the price .,"[('computer', 'laptop price', 'positive', 'nice')]"
"but i would have never bought it if i knew that windows 10 was the worst , god awful garbage operating system i have ever encountered .","[('windows 10', 'os general', 'negative', 'worst')]"
i hate windows 10 .,"[('windows 10', 'os general', 'negative', 'hate')]"
liking it a lot .,"[('null', 'laptop general', 'positive', 'liking')]"
haven ' t had it long so only 4 stars but if it holds up it ' s worth 5 .,"[('null', 'laptop general', 'positive', 'null')]"
has nice features for the price and nice video for streaming movies .,"[('null', 'laptop price', 'positive', 'nice')]"
bought this for my ten year old for school and creating .,"[('null', 'laptop general', 'neutral', 'null')]"
she loves it !,"[('null', 'laptop general', 'positive', 'loves')]"
